_time,dev_id,gw_pwr_st,lat,long,ts,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,Charge_alt_V,Coolant_T,DG_Batt_V,DG_st,Eng_rpm,Eng_run_H,Eng_run_M,Fuel_L,Fuel_L_in_lit,G_L1_L2_V,G_L1_N_V,G_L1_fr,G_L2_L3_V,G_L2_N_V,G_L2_fr,G_L3_L1_V,G_L3_N_V,G_L3_fr,G_avg_pf,G_cum_En,G_cum_R_En,G_cum_ap_En,G_pf_L1,G_pf_L2,G_pf_L3,IO_diag,Ld_L1_A,Ld_L1_VA,Ld_L1_W,Ld_L1_var,Ld_L2_A,Ld_L2_VA,Ld_L2_W,Ld_L2_var,Ld_L3_A,Ld_L3_VA,Ld_L3_W,Ld_L3_var,Ld_Ttl_VA,Ld_Ttl_W,Ld_Ttl_var,M_L1_L2_V,M_L1_N_V,M_L1_fr,M_L2_L3_V,M_L2_N_V,M_L2_fr,M_L3_L1_V,M_L3_N_V,M_L3_fr,M_cum_En,M_cum_R_En,M_cum_ap_En,M_run_H,M_run_M,No_of_starts,No_of_trips,Oil_P,Pct_Ld,U_L,pro_rev
"09/12/2025, 12:12:00",MWX_ELM_GW10004,1,0,0,1765262508,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,42,13.3,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50,404,234,50,403,232,50,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 12:12:20",MWX_ELM_GW10001,1,18.4,76.5,1765262538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:12:40",MWX_ELM_GW10003,1,17.6,78.2,1765262540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:13:00",MWX_ELM_GW10004,1,0,0,1765262579,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,42,13.3,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,233,50,404,234,50,403,232,50,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 12:13:20",MWX_ELM_GW10002,1,0,0,1765262596,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50,404,233,50,402,232,50,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 12:13:40",MWX_ELM_GW10003,1,17.6,78.2,1765262611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:14:00",MWX_ELM_GW10005,1,0,0,1765262630,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,74,13.3,26753,0,44,54,78,200,0,0,0,0,0,0,0,0,0,0,1132,273,1169,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,231,49.9,401,233,49.9,402,232,49.9,0,0,0,0,0,385,7,0,0,100,1
"09/12/2025, 12:14:20",MWX_ELM_GW10004,1,0,0,1765262650,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,42,13.3,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,234,50,405,235,50,404,233,50,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 12:14:40",MWX_ELM_GW10002,1,0,0,1765262666,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50,404,234,50,401,232,50,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 12:15:00",MWX_ELM_GW10001,1,18.4,76.5,1765262680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:15:20",MWX_ELM_GW10005,1,0,0,1765262701,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,74,13.2,26753,0,44,54,78,201,0,0,0,0,0,0,0,0,0,0,1132,273,1169,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,232,50,401,233,50,402,232,50,0,0,0,0,0,385,7,0,0,100,1
"09/12/2025, 12:15:40",MWX_ELM_GW10002,1,0,0,1765262736,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,233,50,404,233,50,401,232,50,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 12:16:00",MWX_ELM_GW10003,1,17.6,78.2,1765262755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:16:40",MWX_ELM_GW10004,1,0,0,1765262791,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,41,13.4,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,234,50,405,235,50,404,233,50,0,0,0,0,0,1127,22,0,0,36,1
